name,dataSubtype,dataType,fileFormat,resourceType,studyId,nf1Genotype,modifiedBy,diagnosis,studyName,platform,assay,species,fundingAgency,organ,tissue
NF_Set5_0200_11Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set5_0250_11Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set5_0300_11Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set5_0500_11Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set5_0750_11Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set5_1000_11Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set6_0025_17Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set6_0050_17Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set6_0075_17Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set6_0100_17Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set6_0150_17Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set6_0200_17Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set6_0250_17Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set6_0300_17Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set6_0500_17Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set6_0750_17Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set6_1000_17Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set7_0025_19Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set7_0050_19Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set7_0075_19Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set7_0100_19Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
